product_id,product_name,category,brand,unit_cost_krw,unit_price_krw,stock_qty,status
500001,삼성 데스크탑 에어 854,데스크탑,삼성,1131000,1551000,104,판매중
500002,LG 액세서리 프로 195,액세서리,LG,2423000,3623200,223,판매중
500003,삼성 소프트웨어 스마트 325,소프트웨어,삼성,2303000,3084100,459,판매중
500004,MS 노트북 라이트 384,노트북,MS,658000,1111100,159,판매중
500005,LG 네트워크장비 라이트 967,네트워크장비,LG,384000,562900,352,판매중
500006,엡손 노트북 스마트 180,노트북,엡손,1886000,2971100,565,판매중
500007,레노버 소프트웨어 울트라 146,소프트웨어,레노버,2369000,3161600,677,판매중
500008,LG 저장장치 스마트 384,저장장치,LG,958000,1730600,464,판매중
500009,애플 네트워크장비 맥스 818,네트워크장비,애플,1521000,2203400,699,판매중
500010,캐논 소프트웨어 플러스 267,소프트웨어,캐논,705000,1109500,473,판매중
500011,HP 액세서리 프로 334,액세서리,HP,1333000,2386000,32,판매중
500012,Dell 프린터 라이트 317,프린터,Dell,276000,371900,671,판매중
500013,애플 소모품 맥스 864,소모품,애플,1089000,1413200,598,판매중
500014,ASUS 소프트웨어 에어 621,소프트웨어,ASUS,1487000,2012600,505,판매중
500015,LG 노트북 스마트 710,노트북,LG,631000,1034300,65,판매중
500016,로지텍 소프트웨어 프로 796,소프트웨어,로지텍,2172000,2988600,738,판매중
500017,MS 액세서리 라이트 214,액세서리,MS,1097000,1906600,300,판매중
500018,삼성 소모품 에어 619,소모품,삼성,1083000,2036300,108,판매중
500019,캐논 저장장치 에어 482,저장장치,캐논,2084000,3389100,780,판매중
500020,삼성 액세서리 프로 214,액세서리,삼성,2458000,3507300,371,판매중
500021,HP 저장장치 울트라 187,저장장치,HP,242000,331200,749,판매중
500022,MS 데스크탑 에어 775,데스크탑,MS,2186000,3795000,486,판매중
500023,Dell 모니터 스마트 316,모니터,Dell,2166000,3921900,552,판매중
500024,엡손 키보드/마우스 라이트 548,키보드/마우스,엡손,1281000,1894900,529,판매중
500025,HP 키보드/마우스 플러스 702,키보드/마우스,HP,267000,383500,225,단종
500026,HP 노트북 라이트 172,노트북,HP,281000,515200,526,판매중
500027,HP 소모품 넥스트 348,소모품,HP,2213000,2860500,484,판매중
500028,LG 키보드/마우스 라이트 533,키보드/마우스,LG,402000,667800,420,판매중
500029,캐논 노트북 라이트 919,노트북,캐논,408000,506900,111,판매중
500030,씨게이트 키보드/마우스 에어 385,키보드/마우스,씨게이트,1842000,2391100,473,판매중
500031,로지텍 데스크탑 프로 195,데스크탑,로지텍,2259000,2865600,771,판매중
500032,ASUS 모니터 스마트 160,모니터,ASUS,1994000,3064600,168,판매중
500033,Dell 프린터 넥스트 258,프린터,Dell,1868000,2614500,194,판매중
500034,WD 노트북 라이트 158,노트북,WD,2225000,2764900,51,판매중
500035,씨게이트 액세서리 울트라 971,액세서리,씨게이트,649000,804600,190,판매중
500036,캐논 데스크탑 플러스 692,데스크탑,캐논,968000,1435100,608,단종
500037,ASUS 데스크탑 라이트 367,데스크탑,ASUS,2395000,3821600,209,판매중
500038,HP 네트워크장비 맥스 568,네트워크장비,HP,1092000,1612900,323,판매중
500039,삼성 데스크탑 울트라 175,데스크탑,삼성,1882000,3076700,550,판매중
500040,애플 저장장치 플러스 478,저장장치,애플,1434000,2605000,291,판매중
500041,엡손 액세서리 프로 783,액세서리,엡손,1244000,2025400,567,판매중
500042,애플 데스크탑 울트라 860,데스크탑,애플,1088000,1393500,566,판매중
500043,WD 저장장치 플러스 803,저장장치,WD,867000,1475900,649,판매중
500044,로지텍 액세서리 프로 194,액세서리,로지텍,1033000,1894200,649,판매중
500045,삼성 저장장치 에어 752,저장장치,삼성,19000,27200,268,판매중
500046,씨게이트 소모품 울트라 177,소모품,씨게이트,1756000,2796600,707,판매중
500047,삼성 액세서리 에어 540,액세서리,삼성,1517000,2438900,130,단종
500048,MS 네트워크장비 플러스 798,네트워크장비,MS,168000,307300,255,판매중
500049,MS 네트워크장비 스마트 735,네트워크장비,MS,2298000,4179800,767,판매중
